gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-20.3732,25.0588,12.7253,0.0713,34.7124,0.8576,0.0049,46.2742,179.9625,0.0667,7e-06,0.0645,-0.015,-0.0004,TRANSLATE
-18.1361,23.3158,31.2928,0.0825,43.0323,8.32,0.0112,41.0352,49.2443,0.0705,4e-05,0.069,-0.0097,-0.0005,TRANSLATE
-16.2089,24.3964,42.6311,0.0886,51.7235,8.6912,0.0061,40.7222,41.9668,0.0752,7.8e-05,0.0743,-0.003,0.0001,TRANSLATE
-18.6108,24.764,45.2205,0.0952,54.8134,3.0899,0.0066,43.6273,73.2021,0.0808,0.000114,0.0799,0.0056,-0.0,TRANSLATE
-16.898,24.0768,34.9202,0.1,45.658,9.1554,0.0048,45.9879,49.3538,0.0875,0.000101,0.0859,0.0132,0.0,TRANSLATE
-16.7434,24.4958,24.2111,0.1053,38.2958,7.3622,0.0053,46.7046,35.2463,0.0943,6.5e-05,0.0916,0.0204,-0.0,TRANSLATE
-18.801,23.8467,9.2251,0.1058,31.7371,6.5587,0.0005,44.4456,72.2511,0.099,4.2e-05,0.0949,0.0269,-0.0002,TRANSLATE
-16.6439,24.6242,-10.2011,0.0993,31.4235,0.3136,0.0065,40.3856,79.0888,0.1011,1.6e-05,0.0961,0.031,-0.0007,TRANSLATE
-17.1683,24.34,-20.2234,0.0886,36.0024,4.5789,0.0107,36.6234,27.1444,0.0998,3.8e-05,0.0941,0.033,-0.0011,TRANSLATE
-21.1096,26.5407,-23.1631,0.0708,41.0677,5.0653,0.0178,35.7053,13.9269,0.0939,0.000172,0.088,0.0326,-0.0013,TRANSLATE
-21.8346,26.1763,-21.3586,0.0499,40.2261,0.8416,0.0209,36.0914,16.5233,0.0829,0.000412,0.0772,0.0299,-0.0015,TRANSLATE
-21.3458,25.863,-23.2556,0.0357,40.8088,0.5827,0.0143,37.9057,13.8905,0.0689,0.000556,0.0639,0.0254,-0.0014,TRANSLATE
-21.8141,26.5841,-23.7326,0.0286,41.7829,0.9741,0.0071,39.9776,4.2005,0.0547,0.000496,0.0504,0.0212,-0.0014,TRANSLATE
-21.9513,26.5829,-21.9392,0.0192,40.8637,0.9192,0.0093,40.9498,0.2518,0.0408,0.000325,0.0376,0.0159,-0.0015,TRANSLATE
-21.9017,26.4195,-19.3076,0.0091,39.3758,1.4879,0.0101,40.6115,0.63,0.0285,0.000194,0.0262,0.0108,-0.0016,TRANSLATE
