gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-289.169,-100.1631,-121.0595,0.1227,329.0999,21.5711,0.0009,283.293,983.8577,0.1372,0.000209,-0.0796,-0.1062,0.0214,SHAKE1
-261.0602,-110.9149,-148.4664,0.1171,320.1512,8.9487,0.0056,292.4559,1155.5642,0.1284,9.6e-05,-0.0839,-0.0942,0.0055,SHAKE1
-197.1388,-98.9725,-185.5356,0.1171,288.2408,31.9105,0.0,301.9526,534.3799,0.1228,3.6e-05,-0.0875,-0.0837,-0.0064,SHAKE1
-112.3985,-93.6155,-219.966,0.1116,264.1635,24.0773,0.0055,301.8369,543.0461,0.1184,1.9e-05,-0.0896,-0.0743,-0.0144,SHAKE1
-55.2095,-106.1581,-241.954,0.1002,269.9247,5.7613,0.0114,294.316,683.6801,0.1138,5.8e-05,-0.0893,-0.0672,-0.0189,SHAKE1
-17.9832,-117.7296,-245.6726,0.0886,273.0177,3.093,0.0116,283.0995,406.6109,0.1069,0.000122,-0.0825,-0.0642,-0.0181,SHAKE1
30.7478,-117.6149,-229.0412,0.0936,259.304,13.7137,0.0049,270.9301,97.1962,0.1022,0.000115,-0.0722,-0.0666,-0.0124,SHAKE1
117.7139,-117.0451,-209.7111,0.0974,267.46,8.156,0.0038,266.774,22.3995,0.0983,6e-05,-0.0586,-0.0716,-0.0023,SHAKE1
196.568,-116.5423,-193.9783,0.0958,299.7476,32.2876,0.0016,273.8908,187.8393,0.0951,1.5e-05,-0.0439,-0.0764,0.0118,SHAKE1
259.6512,-118.9495,-192.6951,0.1037,344.5274,44.7798,0.0079,288.8113,959.9764,0.0958,2.4e-05,-0.0339,-0.0793,0.0296,SHAKE1
310.1179,-136.8752,-186.6217,0.1124,386.9568,42.4294,0.0087,311.5992,2317.3098,0.1006,4.6e-05,-0.031,-0.0749,0.0494,SHAKE1
