gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-374.086,-28.5279,118.6273,0.0785,393.4801,33.9452,0.001,351.0097,570.2255,0.0803,1.2e-05,-0.0267,-0.0426,-0.0622,SHAKE
-400.9313,-51.2035,155.8518,0.0828,433.1945,39.7144,0.0042,372.3547,1345.047,0.0795,4e-06,-0.0255,-0.0419,-0.0621,SHAKE
-407.5044,-67.4941,194.694,0.0833,456.6411,23.4465,0.0006,396.798,1880.6633,0.08,7e-06,-0.0245,-0.0448,-0.0606,SHAKE
-390.4442,-76.1484,210.4239,0.088,450.026,6.615,0.0047,418.5753,1353.4801,0.082,1.4e-05,-0.0273,-0.05,-0.0576,SHAKE
-351.0241,-77.8312,213.4485,0.0998,418.1338,31.8922,0.0117,430.2951,519.013,0.0865,5.3e-05,-0.0377,-0.0526,-0.0522,SHAKE
-309.3474,-78.2775,204.7119,0.1338,379.1176,39.0162,0.034,427.4226,763.5204,0.0975,0.000365,-0.0585,-0.0505,-0.0433,SHAKE
-285.0561,-63.372,178.5727,0.1695,342.2881,36.8295,0.0358,409.2413,1875.8737,0.1149,0.001057,-0.088,-0.0427,-0.0296,SHAKE
-271.4449,-29.5601,135.63,0.2007,304.8797,37.4085,0.0312,378.889,2683.5374,0.1383,0.00178,-0.1234,-0.031,-0.0123,SHAKE
-268.3653,15.7926,68.204,0.2184,277.3466,27.5331,0.0177,344.3531,2540.8909,0.1644,0.001875,-0.1576,-0.0164,0.0071,SHAKE
-286.6891,58.3653,-5.2368,0.2181,292.6168,15.2702,0.0003,319.2498,1357.3245,0.1881,0.001055,-0.1835,-0.0028,0.026,SHAKE
-317.1513,97.436,-77.7269,0.1964,340.7641,48.1473,0.0217,311.579,674.226,0.2006,0.000322,-0.1948,0.007,0.0419,SHAKE
-355.1773,137.7863,-144.2284,0.1601,407.3546,66.5905,0.0363,324.5923,2150.8633,0.1987,0.000453,-0.1909,0.0125,0.0516,SHAKE
